Note: Original output/ directory exists. Simulations will write there, then copy to result_1/
==========================================
Size Performance Simulations (Parallel)
1000 Monte Carlo replications at 5% level
Max parallel jobs: 4
Results: result_1/output/
==========================================

=== REG_LOGIS ===
[22:23:55] Starting: standard_null | FNN | n=2000, p=500
[22:24:52] ✗ Failed: standard_null | FNN | n=2000, p=500 (exit code: 139)
[22:24:52] Starting: standard_null | FNN | n=2000, p=1000
[22:26:04] ✗ Failed: standard_null | FNN | n=2000, p=1000 (exit code: 139)
[22:26:04] Starting: banded_null | FNN | n=1000, p=10
[22:27:10] ✗ Failed: banded_null | FNN | n=1000, p=10 (exit code: 139)
[22:27:11] Starting: banded_null | FNN | n=1000, p=50
[22:28:10] ✗ Failed: banded_null | FNN | n=1000, p=50 (exit code: 139)
[22:28:10] Starting: banded_null | FNN | n=1000, p=200
[22:29:04] ✗ Failed: banded_null | FNN | n=1000, p=200 (exit code: 139)
[22:29:06] Starting: banded_null | FNN | n=1000, p=500
[22:29:58] ✗ Failed: banded_null | FNN | n=1000, p=500 (exit code: 139)
[22:29:58] Starting: banded_null | FNN | n=1000, p=1000
[22:31:10] ✗ Failed: banded_null | FNN | n=1000, p=1000 (exit code: 139)
[22:31:10] Starting: banded_null | FNN | n=2000, p=10
[22:32:19] ✗ Failed: banded_null | FNN | n=2000, p=10 (exit code: 139)
[22:32:20] Starting: banded_null | FNN | n=2000, p=50
[22:33:22] ✗ Failed: banded_null | FNN | n=2000, p=50 (exit code: 139)
[22:33:22] Starting: banded_null | FNN | n=2000, p=200
[22:34:32] ✗ Failed: banded_null | FNN | n=2000, p=200 (exit code: 139)
[22:34:34] Starting: banded_null | FNN | n=2000, p=500
[22:35:45] ✗ Failed: banded_null | FNN | n=2000, p=500 (exit code: 139)
[22:35:45] Starting: banded_null | FNN | n=2000, p=1000
[22:36:51] ✗ Failed: banded_null | FNN | n=2000, p=1000 (exit code: 139)
[22:36:52] Starting: exp_null | FNN | n=1000, p=10
[22:38:05] ✗ Failed: exp_null | FNN | n=1000, p=10 (exit code: 139)
[22:38:05] Starting: exp_null | FNN | n=1000, p=50
[22:39:13] ✗ Failed: exp_null | FNN | n=1000, p=50 (exit code: 139)
[22:39:14] Starting: exp_null | FNN | n=1000, p=200
[22:40:27] ✗ Failed: exp_null | FNN | n=1000, p=200 (exit code: 139)
[22:40:27] Starting: exp_null | FNN | n=1000, p=500
[22:41:45] ✗ Failed: exp_null | FNN | n=1000, p=500 (exit code: 139)
[22:41:45] Starting: exp_null | FNN | n=1000, p=1000
[22:42:59] ✗ Failed: exp_null | FNN | n=1000, p=1000 (exit code: 139)
[22:42:59] Starting: exp_null | FNN | n=2000, p=10
[22:43:59] ✗ Failed: exp_null | FNN | n=2000, p=10 (exit code: 139)
[22:44:00] Starting: exp_null | FNN | n=2000, p=50
[22:45:19] ✗ Failed: exp_null | FNN | n=2000, p=50 (exit code: 139)
[22:45:20] Starting: exp_null | FNN | n=2000, p=200
[22:46:41] ✗ Failed: exp_null | FNN | n=2000, p=200 (exit code: 139)
[22:46:41] Starting: exp_null | FNN | n=2000, p=500
[22:47:55] ✗ Failed: exp_null | FNN | n=2000, p=500 (exit code: 139)
[22:47:55] Starting: exp_null | FNN | n=2000, p=1000

Waiting for all simulations to complete...
[22:49:15] ✗ Failed: exp_null | FNN | n=2000, p=1000 (exit code: 139)

==========================================
All Size Simulations Complete!
Results in: result_1/output/
Logs in: result_1/logs/
==========================================
